name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Cos d'Estournel,1996,Bordeaux Red Blends,St. Estephe, Bordeaux, France,279.97,93,94.06275,-1.06275,1,0,0,0,1,0
Chateau Sociando-Mallet,1996,Bordeaux Red Blends,Haut Medoc, Bordeaux, France,47.99,90,92.08010,-2.08010,1,0,0,0,1,0
Chateau Certan de May,1995,Bordeaux Red Blends,Pomerol, Bordeaux, France,150.00,90,92.95195,-2.95195,1,0,0,0,1,0
M. Chapoutier Hermitage Monier de la Sizeranne,1995,Syrah/Shiraz,Hermitage, Rhone, France,85.00,92,93.15703,-1.15703,0,1,0,0,1,0
M. Chapoutier Ermitage Le Pavillon,1995,Syrah/Shiraz,Hermitage, Rhone, France,259.00,99,94.64413,4.35587,0,1,0,0,1,0
Chateau Haut-Marbuzet,1995,Bordeaux Red Blends,St. Estephe, Bordeaux, France,42.99,92,92.03737,-0.03737,1,0,0,0,1,0
Chateau Lynch-Bages,1982,Bordeaux Red Blends,Pauillac, Bordeaux, France,499.97,93,95.94301,-2.94301,1,0,0,0,1,0
Chateau La Mission Haut-Brion,1998,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,459.97,98,95.60115,2.39885,1,0,0,0,1,0
Chateau Haut-Brion (scuffed labels),1995,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,599.97,96,96.79768,-0.79768,1,0,0,0,1,0
Chateau Trotanoy,1995,Bordeaux Red Blends,Pomerol, Bordeaux, France,209.00,93,93.45619,-0.45619,1,0,0,0,1,0
Chateau Grand-Puy-Lacoste,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,169.97,91,93.12262,-2.12262,1,0,0,0,1,0
Chateau L'Arrosee,1995,Bordeaux Red Blends,St. Emilion, Bordeaux, France,79.99,90,92.35359,-2.35359,1,0,0,0,1,0
Chateau Leoville Las Cases,1994,Bordeaux Red Blends,St. Julien, Bordeaux, France,159.00,93,93.02887,-0.02887,1,0,0,0,1,0
Chateau Leoville Las Cases,1997,Bordeaux Red Blends,St. Julien, Bordeaux, France,159.97,90,93.03716,-3.03716,1,0,0,0,1,0
Chateau Mouton Rothschild,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,629.97,94,97.05408,-3.05408,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,1994,Bordeaux Red Blends,Pauillac, Bordeaux, France,125.00,91,92.73828,-1.73828,1,0,0,0,1,0
Chateau Pontet-Canet,1994,Bordeaux Red Blends,Pauillac, Bordeaux, France,99.00,93,92.51607,0.48393,1,0,0,0,1,0
Chateau Phelan Segur,1995,Bordeaux Red Blends,St. Estephe, Bordeaux, France,109.99,92,92.60999,-0.60999,1,0,0,0,1,0
Chateau Beau-Sejour Becot,1998,Bordeaux Red Blends,St. Emilion, Bordeaux, France,99.97,91,92.52435,-1.52435,1,0,0,0,1,0
Chateau Coufran Haut-Medoc,1998,Bordeaux Red Blends,Medoc, Bordeaux, France,21.99,87,91.85789,-4.85789,1,0,0,0,1,0
Chateau Cos d'Estournel,1985,Bordeaux Red Blends,St. Estephe, Bordeaux, France,189.99,93,93.29372,-0.29372,1,0,0,0,1,0
Chateau d'Armailhac,1997,Bordeaux Red Blends,Pauillac, Bordeaux, France,58.99,87,92.17412,-5.17412,1,0,0,0,1,0
Chateau Grand-Puy-Lacoste,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,59.99,90,92.18266,-2.18266,1,0,0,0,1,0
Chateau Haut-Batailley,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,7.99,91,91.73824,-0.73824,1,0,0,0,1,0
Chateau Lafite Rothschild,1981,Bordeaux Red Blends,Pauillac, Bordeaux, France,343.99,91,94.60991,-3.60991,1,0,0,0,1,0
Chateau Lafite Rothschild,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,749.00,95,98.07138,-3.07138,1,0,0,0,1,0
Chateau Pontet-Canet,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,129.97,92,92.78075,-0.78075,1,0,0,0,1,0
Chateau Latour,1988,Bordeaux Red Blends,Pauillac, Bordeaux, France,612.97,91,96.90878,-5.90878,1,0,0,0,1,0
Les Forts de Latour,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,74.49,90,92.30659,-2.30659,1,0,0,0,1,0
