name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau La Mission Haut-Brion,1994,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,97.49,92,92.65366,-0.65366,1,0,0,0,1,0
Tenuta Guado al Tasso,1998,Bordeaux Red Blends,Bolgheri, Tuscany, Italy,115.00,92,90.55962,1.44038,1,0,0,1,0,0
Tatachilla McLaren Vale Shiraz,1999,Syrah/Shiraz,McLaren Vale, Australia,25.99,87,92.57127,-5.57127,0,1,0,0,0,1
Carruades de Lafite,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,229.00,90,93.53349,-3.53349,1,0,0,0,1,0
Chateau L'Evangile,1998,Bordeaux Red Blends,Pomerol, Bordeaux, France,329.97,94,94.15709,-0.15709,1,0,0,0,1,0
Alain Voge Cornas Vieilles Fontaines,1996,Syrah/Shiraz,Cornas, Rhone, France,53.99,91,93.24753,-2.24753,0,1,0,0,1,0
Delas Cote Rotie Maugiron,1997,Syrah/Shiraz,Cote Rotie, Rhone, France,54.99,91,93.27061,-2.27061,0,1,0,0,1,0
Penfolds Grange,1996,Syrah/Shiraz,Australia,419.00,92,94.94774,-2.94774,0,1,0,0,0,1
Kay Brothers Hillside Shiraz,1999,Syrah/Shiraz,McLaren Vale, Australia,57.99,96,92.76891,3.23109,0,1,0,0,0,1
d'Arenberg The Footbolt Shiraz,1999,Syrah/Shiraz,McLaren Vale, Australia,19.99,89,92.53423,-3.53423,0,1,0,0,0,1
Hewitson Barossa Valley Shiraz,1999,Syrah/Shiraz,Barossa Valley, Barossa, Australia,34.99,91,92.62686,-1.62686,0,1,0,0,0,1
Boillot, Jean Boillot & Fils Beaune Clos du Roi Premier Cru,1999,Pinot Noir,Burgundy, France,58.99,88,90.74805,-2.74805,0,0,1,0,1,0
Boillot, Jean Boillot & Fils Beaune Les Epenottes Premier Cru,1999,Pinot Noir,Burgundy, France,53.99,91,90.71716,0.28284,0,0,1,0,1,0
Boillot, Jean Boillot & Fils Savigny Beaune Les Lavieres Premier Cru,1999,Pinot Noir,Burgundy, France,53.99,87,90.71716,-3.71716,0,0,1,0,1,0
Clarendon Hills Moritz Syrah,1999,Syrah/Shiraz,McLaren Vale, Australia,48.99,92,92.71332,-0.71332,0,1,0,0,0,1
Jim Barry The Armagh Shiraz,1998,Syrah/Shiraz,Clare Valley, Australia,96.99,92,92.99286,-0.99286,0,1,0,0,0,1
Chateau Ducru-Beaucaillou,1998,Bordeaux Red Blends,St. Julien, Bordeaux, France,159.99,91,93.10730,-2.10730,1,0,0,0,1,0
Domaine M & S Ogier Cote Rotie,1998,Syrah/Shiraz,Cote Rotie, Rhone, France,47.49,90,93.24121,-3.24121,0,1,0,0,1,0
Domaine M & S Ogier Cote Rotie Cuvee Belle Helene,1998,Syrah/Shiraz,Cote Rotie, Rhone, France,87.99,94,93.49133,0.50867,0,1,0,0,1,0
Chateau L'Evangile,1994,Bordeaux Red Blends,Pomerol, Bordeaux, France,129.00,90,92.84825,-2.84825,1,0,0,0,1,0
Mitchelton Print Shiraz,1996,Syrah/Shiraz,Australia,49.99,88,92.66876,-4.66876,0,1,0,0,0,1
