id,name,vintage,price,JS,url,varietal,location,bordeauxBlends,syrah,pinot,italy,france,australia
157783,"Chateau Duhart-Milon",2015,69.99,93,https://www.wine.com/product/chateau-duhart-milon-2015/157783,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
157785,"Chateau Pape Clement",2015,139.99,99,https://www.wine.com/product/chateau-pape-clement-2015/157785,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
157786,"Chateau La Tour Carnet",2015,37.99,93,https://www.wine.com/product/chateau-la-tour-carnet-2015/157786,"Bordeaux Red Blends","Haut Medoc, Bordeaux, France",1,0,0,0,1,0
157788,"Chateau LaTour-Martillac",2015,44.99,94,https://www.wine.com/product/chateau-latour-martillac-2015/157788,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
157789,"Chateau de Fieuzal",2015,44.99,94,https://www.wine.com/product/chateau-de-fieuzal-2015/157789,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
157792,"Chateau Berliquet",2015,39.99,97,https://www.wine.com/product/chateau-berliquet-2015/157792,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157793,"Chateau Prieure-Lichine",2015,49.99,96,https://www.wine.com/product/chateau-prieure-lichine-2015/157793,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
157794,"Chateau Faugeres",2015,44.99,95,https://www.wine.com/product/chateau-faugeres-2015/157794,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157795,"Chateau Fonplegade",2015,47.99,95,https://www.wine.com/product/chateau-fonplegade-2015/157795,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157796,"Chateau Gloria",2015,59.99,94,https://www.wine.com/product/chateau-gloria-2015/157796,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
157801,"Chateau Grand Mayne",2015,49.99,91,https://www.wine.com/product/chateau-grand-mayne-2015/157801,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157804,"Chateau Lynch-Bages Echo de",2015,44.99,91,https://www.wine.com/product/chateau-lynch-bages-echo-de-2015/157804,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
157806,"Chateau Pichon Longueville Comtesse de Lalande Reserve de la Comtesse",2015,47.99,93,https://www.wine.com/product/chateau-pichon-longueville-comtesse-de-lalande-reserve-de-la-comtesse-2015/157806,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
157809,"Clos Fourtet",2015,134.99,96,https://www.wine.com/product/clos-fourtet-2015/157809,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157812,"Chateau Lafon-Rochet",2015,61.99,93,https://www.wine.com/product/chateau-lafon-rochet-2015/157812,"Bordeaux Red Blends","St. Estephe, Bordeaux, France",1,0,0,0,1,0
157815,"Chateau Kirwan",2015,67.99,93,https://www.wine.com/product/chateau-kirwan-2015/157815,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
157823,"Chateau Lespault-Martillac",2015,27.99,93,https://www.wine.com/product/chateau-lespault-martillac-2015/157823,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
